Name;Sector;Lat;Long;PM-low(Gg/year);PM-high(Gg/year);PM-mean(Gg/year)
ALCIDIA;Bagasse TPP;-22.538851;-52.190831;0.07022592;1.02705408;0.54864
BELLÃO & SCHIAVON;Bagasse TPP;-21.812253;-47.235488;0.00119808;0.01752192;0.00936
PARAÍSO;Bagasse TPP;-22.265142;-48.154094;0.01419264;0.20756736;0.11088
BELA VISTA;Bagasse TPP;-21.028625;-48.053734;0.01806336;0.26417664;0.14112
ITAIQUARA;Bagasse TPP;-21.455312;-46.750967;0.00589824;0.08626176;0.04608
ÁGUA LIMPA;Bagasse TPP;-20.780958;-49.728315;0.005087232;0.074400768;0.039744
SANTA ROSA;Bagasse TPP;-23.259627;-47.639170;0.005087232;0.074400768;0.039744
SANTA FÉ;Bagasse TPP;-21.768898;-48.557412;0.01179648;0.17252352;0.09216
LWARCEL;Bagasse TPP;-22.546772;-48.814894;0.0073728;0.1078272;0.0576
SANTO ANTÔNIO;Bagasse TPP;-22.659797;-47.643290;0.002138112;0.031269888;0.016704
FLORAPLAC;Bagasse TPP;-2.963406;-47.375360;0.002304;0.033696;0.018
DELOS;Bagasse TPP;-21.161521;-47.988729;0.00129024;0.01886976;0.01008
DELLA COLETTA;Bagasse TPP;-22.081042;-48.719312;0.0073728;0.1078272;0.0576
BARRA;Bagasse TPP;-22.478612;-48.545333;0.02912256;0.42591744;0.22752
